row_index,id,label,role
0,2_trans_497.csv,1,proper_train
1,2_trans_483.csv,1,calibration
2,2_trans_2396.csv,1,proper_train
3,2_trans_1847.csv,1,proper_train
4,2_trans_2382.csv,1,calibration
5,2_trans_2369.csv,1,proper_train
6,2_trans_454.csv,1,proper_train
7,2_trans_1660.csv,1,proper_train
8,2_trans_332.csv,1,calibration
9,2_trans_326.csv,1,proper_train
10,2_trans_440.csv,1,proper_train
11,2_trans_1884.csv,1,proper_train
12,2_trans_2355.csv,1,proper_train
13,2_trans_468.csv,1,calibration
14,2_trans_2433.csv,1,calibration
15,2_trans_2427.csv,1,proper_train
16,2_trans_2341.csv,1,calibration
17,2_trans_2816.csv,2,calibration
18,2_trans_695.csv,1,calibration
19,2_trans_27.csv,1,proper_train
20,2_trans_859.csv,1,calibration
21,2_trans_681.csv,1,calibration
22,2_trans_2802.csv,4,calibration
23,2_trans_2194.csv,1,calibration
24,2_trans_2180.csv,4,calibration
25,2_trans_865.csv,1,calibration
26,2_trans_1489.csv,1,proper_train
27,2_trans_130.csv,1,proper_train
28,2_trans_1304.csv,1,proper_train
29,2_trans_656.csv,1,calibration
30,2_trans_642.csv,1,proper_train
31,2_trans_1310.csv,1,proper_train
32,2_trans_124.csv,1,proper_train
33,2_trans_2157.csv,1,proper_train
34,2_trans_2143.csv,1,proper_train
35,2_trans_118.csv,1,proper_train
36,2_trans_2962.csv,4,proper_train
37,2_trans_2976.csv,2,proper_train
38,2_trans_2786.csv,1,proper_train
39,2_trans_905.csv,1,calibration
40,2_trans_911.csv,1,calibration
41,2_trans_2792.csv,1,proper_train
42,2_trans_2779.csv,1,calibration
43,2_trans_1270.csv,1,proper_train
44,2_trans_1516.csv,1,proper_train
45,2_trans_736.csv,1,calibration
46,2_trans_1502.csv,1,proper_train
47,2_trans_1264.csv,1,proper_train
48,2_trans_2745.csv,1,proper_train
49,2_trans_2023.csv,1,proper_train
50,2_trans_2037.csv,1,proper_train
